YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2000,-3.10,-3.70,-2.80,-0.30,3.30,6.80,9.80,10.10,7.70,6.20,1.20,-2.80,-3.40,0.07,8.90,5.03,2.65
2001,-1.50,-4.80,-4.70,-0.80,2.60,7.80,10.90,9.70,8.60,2.70,-1.80,-2.50,-3.03,-0.97,9.47,3.17,2.16
2002,-3.50,-4.30,-2.50,2.20,3.80,7.00,11.60,9.50,6.10,2.30,-1.70,-3.80,-3.43,1.17,9.37,2.23,2.33
2003,-7.10,-2.30,-1.80,0.20,4.30,5.50,11.10,10.40,7.30,3.70,1.80,-3.10,-4.40,0.90,9.00,4.27,2.44
2004,-3.90,-4.80,-0.80,1.60,4.00,6.90,13.20,11.70,8.10,3.30,-0.80,-0.90,-3.93,1.60,10.60,3.53,2.95
2005,-2.40,-3.10,-3.90,0.10,3.70,7.90,10.20,11.20,7.60,4.80,2.00,-1.30,-2.13,-0.03,9.77,4.80,3.10
2006,-2.50,-4.70,-3.00,2.70,4.70,8.30,9.60,10.00,7.00,2.30,-0.30,-0.10,-2.83,1.47,9.30,3.00,2.73
2007,-2.20,-5.90,0.60,0.80,3.60,7.50,9.00,10.70,7.80,5.60,-0.20,0.70,-2.73,1.67,9.07,4.40,3.10
2008,-2.00,-2.50,-2.70,-0.90,2.80,6.10,8.80,8.30,7.10,3.80,-0.30,-0.10,-1.27,-0.27,7.73,3.53,2.43
2009,-3.60,-4.70,-2.70,-0.60,3.90,6.50,8.50,9.40,8.30,2.30,1.30,-2.20,-2.80,0.20,8.13,3.97,2.38
2010,-5.10,-5.90,-3.90,1.60,4.50,7.00,10.10,8.50,7.60,4.40,-1.00,-3.30,-4.40,0.73,8.53,3.67,2.13
2011,-4.70,-6.70,-2.10,2.50,4.10,7.40,10.40,9.90,9.50,5.30,1.90,0.80,-4.90,1.50,9.23,5.57,2.85
2012,-4.10,-5.80,-1.20,0.40,4.90,6.70,9.50,9.10,7.90,4.10,0.90,-3.70,-3.03,1.37,8.43,4.30,2.77
2013,-1.80,-2.50,-5.40,0.30,6.10,9.60,11.80,12.50,10.00,3.40,-0.60,-1.00,-2.67,0.33,11.30,4.27,3.31
2014,-3.80,-1.00,-0.80,0.10,3.40,6.60,9.90,10.80,7.70,2.90,0.40,-1.50,-1.93,0.90,9.10,3.67,2.93
2015,-3.90,-3.30,0.10,2.00,5.20,7.60,8.30,10.90,8.80,3.80,0.70,-1.10,-2.90,2.43,8.93,4.43,3.23
2016,-5.00,-1.50,-0.90,1.90,6.60,7.90,12.20,10.50,8.60,5.00,0.50,-0.50,-2.53,2.53,10.20,4.70,3.72
2017,-2.30,-2.20,-1.66,-0.70,2.00,5.70,10.10,9.90,8.00,3.70,0.50,-2.30,-1.67,-0.12,8.57,4.07,2.71
2018,-3.30,-3.50,-4.50,0.40,5.50,7.10,11.90,10.60,8.40,3.40,2.30,-1.90,-3.03,0.47,9.87,4.70,3.00
2019,-3.10,-4.50,-3.10,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-3.17,999.90,999.90,999.90,999.90
